Neoplasm by Morphology
		Somatostatinoma, malignant (8156/3)
		Enteroglucagonoma, NOS (8157/1)
		Enteroglucagonoma, malignant (8157/3)
		Endocrine tumor, functioning, NOS (8158/1)
		Bile duct adenoma (8160/0)
		Cholangiocarcinoma (8160/3)
		Bile duct cystadenoma (8161/0)
		Bile duct cystadenocarcinoma (8161/3)
		Klatskin tumor (8162/3)
		Pancreatobiliary neoplasm, non-invasive (8163/0)
		Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia (C24.1) (8163/2)
		Pancreatobiliary-type carcinoma (C24.1) (8163/3)
		Liver cell adenoma (8170/0)
		Hepatocellular carcinoma, NOS (8170/3)
		Hepatocellular carcinoma, fibrolamellar (8171/3)
		Hepatocellular carcinoma, scirrhous (8172/3)
		Hepatocellular carcinoma, spindle cell variant (8173/3)
		Hepatocellular carcinoma, clear cell type (8174/3)
		Hepatocellular carcinoma, pleomorphic type (8175/3)
		Combined hepatocellular carcinoma and cholangiocarcinoma (8180/3)
		Trabecular adenoma (8190/0)
		Trabecular adenocarcinoma (8190/3)
		Embryonal adenoma (8191/0)
		Eccrine dermal cylindroma (8200/0)
		Adenoid cystic carcinoma (8200/3)
		Cribriform carcinoma in situ (8201/2)
		Cribriform carcinoma, NOS (8201/3)
		Microcystic adenoma (8202/0)
		Lactating adenoma (8204/0)
		Adenomatous polyp, NOS (8210/0)
		Adenocarcinoma in situ in adenomatous polyp (8210/2)
		Adenocarcinoma in adenomatous polyp (8210/3)
		Tubular adenoma, NOS (8211/0)
		Tubular adenocarcinoma (8211/3)
		Flat adenoma (8212/0)
		Serrated adenoma (8213/0)
		Serrated adenocarcinoma (8213/3)
		Parietal cell carcinoma (8214/3)
		Adenocarcinoma of anal glands (8215/3)
		Adenomatous polyposis coli (8220/0)
		Adenocarcinoma in adenomatous polyposis coli (8220/3)
		Multiple adenomatous polyps (8221/0)
		Adenocarcinoma in multiple adenomatous polyps (8221/3)
		Ductal carcinoma in situ, solid type (8230/2)
		Solid carcinoma, NOS (8230/3)
		Carcinoma simplex (8231/3)
		Carcinoid tumor of uncertain malignant potential (8240/1)
		Carcinoid tumor, NOS (8240/3)
		Enterochromaffin cell carcinoid (8241/3)
		Enterochromaffin-like cell carcinoid, NOS (8242/1)
		Enterochromaffin-like cell tumor, malignant (8242/3)
		Goblet cell carcinoid (8243/3)
		Composite carcinoid (8244/3)
		Mixed adenoneuroendocrine carcinoma (8244/3)
		Tubular carcinoid (8245/1)
		Adenocarcinoid tumor (8245/3)
		Neuroendocrine carcinoma, NOS (8246/3)
		Merkel cell carcinoma (8247/3)
		Apudoma (8248/1)
		Atypical carcinoid tumor (8249/3)
		Pulmonary adenomatosis (8250/1)
		Bronchiolo-alveolar adenocarcinoma, NOS (8250/3)
		Alveolar adenoma (8251/0)
		Alveolar adenocarcinoma (8251/3)
		Bronchiolo-alveolar carcinoma, non- mucinous (8252/3)
		Bronchiolo-alveolar carcinoma, mucinous (8253/3)
		Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous (8254/3)
		Adenocarcinoma with mixed subtypes (8255/3)
		Papillary adenoma, NOS (8260/0)
		Papillary adenocarcinoma, NOS (8260/3)
		Villous adenoma, NOS (8261/0)
		Adenocarcinoma in situ in villous adenoma (8261/2)
		Adenocarcinoma in villous adenoma (8261/3)
		Villous adenocarcinoma (8262/3)
		Tubulovillous adenoma, NOS (8263/0)
		Adenocarcinoma in situ in tubulovillous adenoma (8263/2)
		Adenocarcinoma in tubulovillous adenoma (8263/3)
		Papillomatosis, glandular (8264/0)
		Micropapillary carcinoma, NOS (C18._, C19.9, C20.9) (8265/3)
		Chromophobe adenoma (8270/0)
		Chromophobe carcinoma (8270/3)
		Prolactinoma (8271/0)
		Pituitary adenoma, NOS (8272/0)
		Pituitary carcinoma, NOS (8272/3)
		Acidophil adenoma (8280/0)
		Acidophil carcinoma (8280/3)
		Mixed acidophil-basophil adenoma (8281/0)
		Mixed acidophil-basophil carcinoma (8281/3)
		Oxyphilic adenoma (8290/0)
		Oxyphilic adenocarcinoma (8290/3)
		Basophil adenoma (8300/0)
		Basophil carcinoma (8300/3)
		Clear cell adenoma (8310/0)
		Clear cell adenocarcinoma, NOS (8310/3)
		Hypernephroid tumor (8311/1)
		Renal cell carcinoma, NOS (8312/3)
		Clear cell adenofibroma (8313/0)
		Clear cell adenofibroma of borderline malignancy (8313/1)
		Clear cell adenocarcinofibroma (8313/3)
		Lipid-rich carcinoma (8314/3)
		Glycogen-rich carcinoma (8315/3)
		Cyst-associated renal cell carcinoma (8316/3)
		Renal cell carcinoma, chromophobe type (8317/3)
		Renal cell carcinoma, sarcomatoid (8318/3)
		Collecting duct carcinoma (8319/3)
		Granular cell carcinoma (8320/3)
		Chief cell adenoma (8321/0)
		Water-clear cell adenoma (8322/0)
		Water-clear cell adenocarcinoma (8322/3)
		Mixed cell adenoma (8323/0)
		Mixed cell adenocarcinoma (8323/3)
		Lipoadenoma (8324/0)
		Metanephric adenoma (8325/0)
		Follicular adenoma (8330/0)
		Atypical follicular adenoma (8330/1)
		Follicular adenocarcinoma, NOS (8330/3)
		Follicular adenocarcinoma, well differentiated (8331/3)
		Follicular adenocarcinoma, trabecular (8332/3)
		Microfollicular adenoma, NOS (8333/0)
		Fetal adenocarcinoma (8333/3)
		Macrofollicular adenoma (8334/0)
		Follicular carcinoma, minimally invasive (8335/3)
		Hyalinizing trabecular adenoma (8336/0)
		Insular carcinoma (8337/3)
		Papillary carcinoma, follicular variant (8340/3)
		Papillary microcarcinoma (8341/3)
		Papillary carcinoma, oxyphilic cell (8342/3)
		Papillary carcinoma, encapsulated (8343/3)
		Papillary carcinoma, columnar cell (8344/3)
		Medullary carcinoma with amyloid stroma (8345/3)
		Mixed medullary-follicular carcinoma (8346/3)
		Mixed medullary-papillary carcinoma (8347/3)
		Nonencapsulated sclerosing carcinoma (8350/3)
		Multiple endocrine adenomas (8360/1)
		Juxtaglomerular tumor (8361/0)
		Adrenal cortical adenoma, NOS (8370/0)
		Adrenal cortical carcinoma (8370/3)
		Adrenal cortical adenoma, compact cell (8371/0)
		Adrenal cortical adenoma, pigmented (8372/0)
		Adrenal cortical adenoma, clear cell (8373/0)
		Adrenal cortical adenoma, glomerulosa cell (8374/0)
		Adrenal cortical adenoma, mixed cell (8375/0)
		Endometrioid adenoma, NOS (8380/0)
		Endometrioid adenoma, borderline malignancy (8380/1)
		Endometrioid adenocarcinoma, NOS (8380/3)
		Endometrioid adenofibroma, NOS (8381/0)
		Endometrioid adenofibroma, borderline malignancy (8381/1)
		Endometrioid adenofibroma, malignant (8381/3)
		Endometrioid adenocarcinoma, secretory variant (8382/3)
		Endometrioid adenocarcinoma, ciliated cell variant (8383/3)
		Adenocarcinoma, endocervical type (8384/3)
	Adnexal and skin appendage neoplasms  (839-842)
		Skin appendage adenoma (8390/0)
		Skin appendage carcinoma (8390/3)
		Follicular fibroma (8391/0)
		Syringofibroadenoma (8392/0)
		Sweat gland adenoma (8400/0)
		Sweat gland tumor, NOS (8400/1)
		Sweat gland adenocarcinoma (8400/3)
		Apocrine adenoma (8401/0)
		Apocrine adenocarcinoma (8401/3)
		Nodular hidradenoma (8402/0)
		Nodular hidradenoma, malignant (8402/3)
		Eccrine spiradenoma (8403/0)
		Malignant eccrine spiradenoma (8403/3)
		Hidrocystoma (8404/0)
		Papillary hidradenoma (8405/0)
		Papillary syringadenoma (8406/0)
		Syringoma, NOS (8407/0)
		Sclerosing sweat duct carcinoma (8407/3)
		Eccrine papillary adenoma (8408/0)
		Aggressive digital papillary adenoma (8408/1)
		Eccrine papillary adenocarcinoma (8408/3)
		Eccrine poroma (8409/0)
		Eccrine poroma, malignant (8409/3)
		Sebaceous adenoma (8410/0)
		Sebaceous adenocarcinoma (8410/3)
		Eccrine adenocarcinoma (8413/3)
		Ceruminous adenoma (8420/0)
		Ceruminous adenocarcinoma (8420/3)
	Mucoepidermoid neoplasms (843)
		Mucoepidermoid tumor (8430/1)
		Mucoepidermoid carcinoma (8430/3)
	Cystic, mucinous and serous neoplasms (844-849)
		Cystadenoma, NOS (8440/0)
		Cystadenocarcinoma, NOS (8440/3)
		Serous cystadenoma, NOS (8441/0)
		Serous cystadenocarcinoma, NOS (8441/3)
		Serous cystadenoma, borderline malignancy (8442/1)
		Clear cell cystadenoma (8443/0)
		Clear cell cystic tumor of borderline malignancy (8444/1)
		Papillary cystadenoma, NOS (8450/0)
		Papillary cystadenocarcinoma, NOS (8450/3)
		Papillary cystadenoma, borderline malignancy (8451/1)
		Solid pseudopapillary tumor (8452/1)
		Solid pseudopapillary carcinoma (8452/3)
		Intraductal papillary-mucinous adenoma (8453/0)
		Intraductal papillary-mucinous tumor with moderate dysplasia (8453/1)
		Intraductal papillary-mucinous carcinoma, non-invasive (8453/2)
		Intraductal papillary-mucinous carcinoma, invasive (8453/3)
		Cystic tumor of atrio-ventricular node (8454/0)
		Papillary serous cystadenoma, NOS (8460/0)
		Papillary serous cystadenocarcinoma (8460/3)
		Serous surface papilloma (8461/0)
		Serous surface papillary carcinoma (8461/3)
		Serous papillary cystic tumor of borderline malignancy (8462/1)
		Serous surface papillary tumor of borderline malignancy (8463/1)
		Mucinous cystadenoma, NOS (8470/0)
		Mucinous cystic tumor with moderate dysplasia (8470/1)
		Mucinous cystadenocarcinoma, non-invasive (8470/2)
		Mucinous cystadenocarcinoma, NOS (8470/3)
		Papillary mucinous cystadenoma, NOS (8471/0)
		Papillary mucinous cystadenocarcinoma (8471/3)
		Mucinous cystic tumor of borderline malignancy (8472/1)
		Papillary mucinous cystadenoma, borderline malignancy (8473/1)
		Mucinous adenoma (8480/0)
		Low grade appendiceal mucinous neoplasm (C18.1) (8480/1)
		Mucinous adenocarcinoma (8480/3)
		Pseudomyxoma peritonei (8480/6)
		Mucin-producing adenocarcinoma (8481/3)
		Mucinous adenocarcinoma, endocervical type (8482/3)
		Signet ring cell carcinoma (8490/3)
		Metastatic signet ring cell carcinoma (8490/6)
	Ductal and lobular neoplasms (850-854)
		Intraductal carcinoma, noninfiltrating, NOS (8500/2)
		Infiltrating duct carcinoma, NOS (8500/3)
		Comedocarcinoma, noninfiltrating (8501/2)
		Comedocarcinoma, NOS (8501/3)
		Secretory carcinoma of breast (8502/3)
		Intraductal papilloma (8503/0)
		Noninfiltrating intraductal papillary adenocarcinoma (8503/2)
		Intraductal papillary adenocarcinoma with invasion (8503/3)
		Intracystic papillary adenoma (8504/0)
		Noninfiltrating intracystic carcinoma (8504/2)
		Intracystic carcinoma, NOS (8504/3)
		Intraductal papillomatosis, NOS (8505/0)
		Adenoma of nipple (8506/0)
		Intraductal micropapillary carcinoma (8507/2)
		Cystic hypersecretory carcinoma (8508/3)
		Medullary carcinoma, NOS (8510/3)
		Medullary carcinoma with lymphoid stroma (8512/3)
		Atypical medullary carcinoma (8513/3)
		Duct carcinoma, desmoplastic type (8514/3)
		Lobular carcinoma in situ, NOS (8520/2)
		Lobular carcinoma, NOS (8520/3)
		Infiltrating ductular carcinoma (8521/3)
		Intraductal carcinoma and lobular carcinoma in situ (8522/2)
		Infiltrating duct and lobular carcinoma (8522/3)
		Infiltrating duct mixed with other types of carcinoma (8523/3)
		Infiltrating lobular mixed with other types of carcinoma (8524/3)
		Polymorphous low grade adenocarcinoma (8525/3)
		Inflammatory carcinoma (8530/3)
		Paget disease, mammary (8540/3)
		Paget disease and infiltrating duct carcinoma of breast (8541/3)
		Paget disease, extramammary (8542/3)
		Paget disease and intraductal carcinoma of breast (8543/3)
	Acinar cell neoplasms (855)
			Acinar cell adenoma (8550/0)
			Acinar cell tumor [obs] (8550/1)
			Acinar cell carcinoma (8550/3)
			Acinar cell cystadenocarcinoma (8551/3)
	Complex epithelial neoplasms (856-857)
		Mixed squamous cell and glandular papilloma (8560/0)
		Adenosquamous carcinoma (8560/3)
		Adenolymphoma (8561/0)
		Epithelial-myoepithelial carcinoma (8562/3)
		Adenocarcinoma with squamous metaplasia (8570/3)
		Adenocarcinoma with cartilaginous and osseous metaplasia (8571/3)
		Adenocarcinoma with spindle cell metaplasia (8572/3)
		Adenocarcinoma with apocrine metaplasia (8573/3)
		Adenocarcinoma with neuroendocrine differentiation (8574/3)
		Metaplastic carcinoma, NOS (8575/3)
		Hepatoid adenocarcinoma (8576/3)
	Thymic epithelial neoplasms (858)
		Thymoma, benign (8580/0)
		Thymoma, NOS (8580/1)
		Thymoma, malignant, NOS (8580/3)
		Thymoma, type A, NOS (8581/1)
		Thymoma, type A, malignant (8581/3)
		Thymoma, type AB, NOS (8582/1)
		Thymoma, type AB, malignant (8582/3)
		Thymoma, type B1, NOS (8583/1)
		Thymoma, type B1, malignant (8583/3)
		Thymoma, type B2, NOS (8584/1)
		Thymoma, type B2, malignant (8584/3)
		Thymoma, type B3, NOS (8585/1)
		Thymoma, type B3, malignant (8585/3)
		Thymic carcinoma, NOS (8586/3)
		Ectopic hamartomatous thymoma (8587/0)
		Spindle epithelial tumor with thymus-like element (8588/3)
		Carcinoma showing thymus-like element (8589/3)
	Specialized gonadal neoplasms (859-867)
		Sex cord-gonadal stromal tumor, NOS (8590/1)
		Sex cord-gonadal stromal tumor, incompletely differentiated (8591/1)
		Sex cord-gonadal stromal tumor, mixed forms (8592/1)
		Stromal tumor with minor sex cord elements (8593/1)
		Thecoma, NOS (8600/0)
		Thecoma, malignant (8600/3)
		Thecoma, luteinized (8601/0)
		Sclerosing stromal tumor (8602/0)
		Luteoma, NOS (8610/0)
		Granulosa cell tumor, adult type (8620/1)
		Granulosa cell tumor, malignant (8620/3)
		Granulosa cell-theca cell tumor (8621/1)
		Granulosa cell tumor, juvenile (8622/1)
		Sex cord tumor with annular tubules (8623/1)
		Androblastoma, benign (8630/0)
		Androblastoma, NOS (8630/1)
		Androblastoma, malignant (8630/3)
		Sertoli-Leydig cell tumor, well differentiated (8631/0)
		Sertoli-Leydig cell tumor of intermediate differentiation (8631/1)
		Sertoli-Leydig cell tumor, poorly differentiated (8631/3)
		Gynandroblastoma (8632/1)
		Sertoli-Leydig cell tumor, retiform (8633/1)
		Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements (8634/1)
		Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements (8634/3)
		Sertoli cell tumor, NOS (8640/1)
		Sertoli cell carcinoma (8640/3)
		Sertoli cell tumor with lipid storage (8641/0)
		Large cell calcifying Sertoli cell tumor (8642/1)
		Leydig cell tumor, benign (8650/0)
		Leydig cell tumor, NOS (8650/1)
		Leydig cell tumor, malignant (8650/3)
		Hilus cell tumor (8660/0)
		Lipid cell tumor of ovary (8670/0)
		Steroid cell tumor, malignant (8670/3)
		Adrenal rest tumor (8671/0)
	Paragangliomas and glomus tumors (868-871)
		Paraganglioma, benign (8680/0)
		Paraganglioma, NOS (8680/1)
		Paraganglioma, malignant (8680/3)
		Sympathetic paraganglioma (8681/1)
		Parasympathetic paraganglioma (8682/1)
		Gangliocytic paraganglioma (8683/0)
		Glomus jugulare tumor, NOS (8690/1)
		Aortic body tumor (8691/1)
		Carotid body tumor (8692/1)
		Extra-adrenal paraganglioma, NOS (8693/1)
		Extra-adrenal paraganglioma, malignant (8693/3)
		Pheochromocytoma, NOS (8700/0)
		Pheochromocytoma, malignant (8700/3)
		Glomangiosarcoma (8710/3)
		Glomus tumor, NOS (8711/0)
		Glomus tumor, malignant (8711/3)
		Glomangioma (8712/0)
		Glomangiomyoma (8713/0)
	Nevi and melanomas (872-879)
		Pigmented nevus, NOS (8720/0)
		Melanoma in situ (8720/2)
		Malignant melanoma, NOS (8720/3)
		Nodular melanoma (8721/3)
		Balloon cell nevus (8722/0)
		Balloon cell melanoma (8722/3)
		Halo nevus (8723/0)
		Malignant melanoma, regressing (8723/3)
		Neuronevus (8725/0)
		Magnocellular nevus (8726/0)
		Dysplastic nevus (8727/0)
		Diffuse melanocytosis (8728/0)
		Meningeal melanocytoma (8728/1)
		Meningeal melanomatosis (8728/3)
		Nonpigmented nevus (8730/0)
		Amelanotic melanoma (8730/3)
		Junctional nevus, NOS (8740/0)
		Malignant melanoma in junctional nevus (8740/3)
		Precancerous melanosis, NOS (8741/2)
		Malignant melanoma in precancerous melanosis (8741/3)
		Lentigo maligna (8742/2)
		Lentigo maligna melanoma (8742/3)
		Superficial spreading melanoma (8743/3)
		Acral lentiginous melanoma, malignant (8744/3)
		Desmoplastic melanoma, malignant (8745/3)
		Mucosal lentiginous melanoma (8746/3)
		Intradermal nevus (8750/0)
		Compound nevus (8760/0)
		Small congenital nevus (8761/0)
		Giant pigmented nevus, NOS (8761/1)
		Malignant melanoma in giant pigmented nevus (8761/3)
		Proliferative dermal lesion in congenital nevus (8762/1)
		Epithelioid and spindle cell nevus (8770/0)
		Mixed epithelioid and spindle cell melanoma (8770/3)
		Epithelioid cell nevus (8771/0)
		Epithelioid cell melanoma (8771/3)
		Spindle cell nevus, NOS (8772/0)
		Spindle cell melanoma, NOS (8772/3)
		Spindle cell melanoma, type A (8773/3)
		Spindle cell melanoma, type B (8774/3)
		Blue nevus, NOS (8780/0)
		Blue nevus, malignant (8780/3)
		Cellular blue nevus (8790/0)
	Soft tissue tumors and sarcomas, NOS (880)
		Soft tissue tumor, benign (8800/0)
		Sarcoma, NOS (8800/3)
		Sarcomatosis, NOS (8800/9)
		Spindle cell sarcoma (8801/3)
		Giant cell sarcoma (8802/3)
		Small cell sarcoma (8803/3)
		Epithelioid sarcoma (8804/3)
		Undifferentiated sarcoma (8805/3)
		Desmoplastic small round cell tumor (8806/3)
	Fibromatous neoplasms (881-883)
		Fibroma, NOS (8810/0)
		Cellular fibroma (8810/1)
		Fibrosarcoma, NOS (8810/3)
		Fibromyxoma (8811/0)
		Fibromyxosarcoma (8811/3)
		Periosteal fibroma (8812/0)
		Periosteal fibrosarcoma (8812/3)
		Fascial fibroma (8813/0)
		Fascial fibrosarcoma (8813/3)
		Infantile fibrosarcoma (8814/3)
		Solitary fibrous tumor (8815/0)
		Solitary fibrous tumor, malignant (8815/3)
		Elastofibroma (8820/0)
		Aggressive fibromatosis (8821/1)
		Abdominal fibromatosis (8822/1)
		Desmoplastic fibroma (8823/0)
		Myofibroma (8824/0)
		Myofibromatosis (8824/1)
		Myofibroblastoma (8825/0)
		Myofibroblastic tumor, NOS (8825/1)
		Angiomyofibroblastoma (8826/0)
		Myofibroblastic tumor, peribronchial (8827/1)
		Benign fibrous histiocytoma (8830/0)
		Atypical fibrous histiocytoma (8830/1)
		Malignant fibrous histiocytoma (8830/3)
		Histiocytoma, NOS (8831/0)
		Dermatofibroma, NOS (8832/0)
		Dermatofibrosarcoma, NOS (8832/3)
		Pigmented dermatofibrosarcoma protuberans (8833/3)
		Giant cell fibroblastoma (8834/1)
		Plexiform fibrohistiocytic tumor (8835/1)
		Angiomatoid fibrous histiocytoma (8836/1)
	Myxomatous neoplasms (884)
		Myxoma, NOS (8840/0)
		Myxosarcoma (8840/3)
		Angiomyxoma (8841/1)
		Ossifying fibromyxoid tumor (8842/0)
	Lipomatous neoplasms (885-888)
		Lipoma, NOS (8850/0)
		Atypical lipoma/j (8850/1)
		Liposarcoma, NOS (8850/3)
		Fibrolipoma (8851/0)
		Liposarcoma, well differentiated (8851/3)
		Fibromyxolipoma (8852/0)
		Myxoid liposarcoma (8852/3)
		Round cell liposarcoma (8853/3)
		Pleomorphic lipoma (8854/0)
		Pleomorphic liposarcoma (8854/3)
		Mixed liposarcoma (8855/3)
		Intramuscular lipoma (8856/0)
		Spindle cell lipoma (8857/0)
		Fibroblastic liposarcoma (8857/3)
		Dedifferentiated liposarcoma (8858/3)
		Angiomyolipoma (8860/0)
		Angiolipoma, NOS (8861/0)
		Chondroid lipoma (8862/0)
		Myelolipoma (8870/0)
		Hibernoma (8880/0)
		Lipoblastomatosis (8881/0)
	Myomatous neoplasms (889-892)
		Leiomyoma, NOS (8890/0)
		Leiomyomatosis, NOS (8890/1)
		Leiomyosarcoma, NOS (8890/3)
		Epithelioid leiomyoma (8891/0)
		Epithelioid leiomyosarcoma (8891/3)
		Cellular leiomyoma (8892/0)
		Bizarre leiomyoma (8893/0)
		Angiomyoma (8894/0)
		Angiomyosarcoma (8894/3)
		Myoma (8895/0)
		Myosarcoma (8895/3)
		Myxoid leiomyosarcoma (8896/3)
		Smooth muscle tumor of uncertain malignant potential (8897/1)
		Metastasizing leiomyoma (8898/1)
		Rhabdomyoma, NOS (8900/0)
		Rhabdomyosarcoma, NOS (8900/3)
		Pleomorphic rhabdomyosarcoma, adult type (8901/3)
		Mixed type rhabdomyosarcoma (8902/3)
		Fetal rhabdomyoma (8903/0)
		Adult rhabdomyoma (8904/0)
		Genital rhabdomyoma (8905/0)
		Embryonal rhabdomyosarcoma, NOS (8910/3)
		Spindle cell rhabdomyosarcoma (8912/3)
		Alveolar rhabdomyosarcoma (8920/3)
		Rhabdomyosarcoma with ganglionic differentiation (8921/3)
	Complex mixed and stromal neoplasms (893-899)
		Endometrial stromal nodule (8930/0)
		Endometrial stromal sarcoma, NOS (8930/3)
		Endometrial stromal sarcoma, low grade (8931/3)
		Adenomyoma (8932/0)
		Adenosarcoma (8933/3)
		Carcinofibroma (8934/3)
		Stromal tumor, benign (8935/0)
		Stromal tumor, NOS (8935/1)
		Stromal sarcoma, NOS (8935/3)
		Gastrointestinal stromal tumor, benign (8936/0)
		Gastrointestinal stromal tumor, NOS (8936/1)
		Gastrointestinal stromal sarcoma (8936/3)
		Pleomorphic adenoma (8940/0)
		Mixed tumor, malignant, NOS (8940/3)
		Carcinoma in pleomorphic adenoma (8941/3)
		Mullerian mixed tumor (8950/3)
		Mesodermal mixed tumor (8951/3)
		Benign cystic nephroma (8959/0)
